season_week,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
11.0,53845.63916853445,791.3835892246378,11303.956767045527,1553.49169940875,2407.1469413366844,1033.8874373748233,2987.3223022198167,792.8493520007978,964.1938485642501,673.8395539403195,12728.979442659585,2910.0162760928747,0.0
12.0,54817.75105294646,793.2063262262709,11267.71258124378,1636.1752248306966,2503.67319327039,1110.335744004663,3137.8077261486615,826.7569701898192,1008.1750866346438,731.1062641199402,12968.268514691576,2932.4741285342593,0.0
13.0,55515.995884815165,838.3018899235905,11018.792580852996,1666.061448961332,2456.4724621318783,1325.3095668783028,3341.183544305604,840.443841823436,1021.2274031534438,725.5483613709926,13354.228943922828,2915.970171914322,0.0
14.0,58497.52203505401,864.2219467900981,11197.230255121214,1823.1402296140757,2553.488506644849,1702.7904537704862,3658.203389664944,914.4462970245457,1071.1191286141695,654.8909365050974,14063.239971742418,3006.681171205814,0.0
15.0,59380.63775321794,881.0611765871762,11602.343738914955,1768.0226007767478,2671.0550607212517,1851.593622440373,3787.1718409981336,945.2180610569352,1069.1989430487208,642.4907988391247,13982.31269479812,3052.697762550311,0.0
16.0,57928.9094830222,845.6072670559973,11363.014561139715,1684.6281418425172,2686.2720039347355,1871.4549387092618,3621.637368322537,926.971102782173,1071.3825475541669,624.6842134319207,13580.735443190837,3051.899379992746,0.0
17.0,56759.50892202791,839.2156242217911,11135.939709914237,1690.4156263656114,2521.8203423271225,1723.7139855519824,3561.4959473925555,903.0410559345414,1054.0259430666304,625.8818256733156,13348.382873859155,2952.3009172814877,0.0
18.0,56408.985954696785,847.1158505025842,11114.197012035927,1690.993838906876,2539.1395892401615,1710.9828408569022,3433.5781988798867,895.5643882166538,1037.108253656679,610.1167286634796,13234.352922009115,2926.8885961943156,0.0
19.0,56664.03177323032,815.6451402609673,11283.189820789492,1706.8911288691263,2469.4210686977563,1654.4234326071455,3515.273145352392,887.4976841137503,1012.9234436011724,617.6046819201757,13286.206596814663,2891.079211372988,0.0
20.0,55941.24373518307,822.7804780172652,11145.919101628955,1685.4590455404878,2492.492462325029,1674.5916016255526,3497.8543758484243,879.0225685522337,1028.361156853927,624.9624486057108,13214.689326992864,2890.466314185209,0.0
21.0,55262.31238677768,818.9952422256857,11090.941447942212,1597.2171827818727,2435.8774964105155,1588.8163081649982,3459.4835523940606,917.2321326525083,1011.8169765352919,588.0594457404509,12939.064141904606,2867.6941736125423,0.0
22.0,54572.660307177364,816.0618654410231,10820.395639111872,1657.6944694554124,2280.5769926495864,1497.3615522333869,3327.5880213300584,835.6826152622845,970.8395694628713,598.6686546407674,12985.752422737025,2882.0715740167216,0.0
23.0,54957.25892713179,766.8020466916954,11124.368096695283,1618.4791147067865,2358.550015839093,1423.4524785721094,3356.759240972538,880.4219833084753,983.5636947671761,623.6339666256384,12950.954636768705,2865.90099819623,0.0
24.0,54279.91289030594,790.0213543453619,10973.07247467552,1602.0823492790098,2348.0070306687962,1359.9503533061181,3337.419741263728,869.6319794877901,1015.452291919224,603.7635806095827,12877.084765986436,2810.5354537721028,0.0
25.0,53977.260441433136,761.7913268223796,10986.5859808427,1615.6882577589085,2342.9115849917703,1291.242267910399,3295.1097934976447,866.2465302817159,966.2815660130753,574.5381182056889,12666.56670580808,2819.198611651882,0.0
26.0,53128.01054947066,773.0666196346805,10879.68116810637,1572.5317003129446,2341.87473777466,1231.3062727672914,3267.9641508121226,871.7470304680141,970.49313503682,590.7451618525594,12416.941323219477,2797.45831952503,0.0
