jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,season_week,season
United States,4/9/2016,52320.58322780795,750.0828787182074,11071.141425446502,1433.6509046169285,2146.8947879274206,1274.0152578501613,3272.5307587187276,749.0595732902153,938.3710774687534,613.9832567952585,12230.546475361549,2715.8526058910265,0.0,27.0,1.0
United States,4/16/2016,51743.438966420406,786.921874125923,11003.603267199023,1481.746259732557,2092.659600243839,1221.8266810225643,3084.242559968182,761.3392384261205,902.55538748903,584.3073993834877,12166.078233398046,2706.6428570390976,0.0,28.0,1.0
United States,4/23/2016,51449.75030858668,820.6909532496621,10972.90410435926,1474.5831217366124,2189.8736159030886,1044.7948419799316,3088.33578168015,789.9917904098992,897.4388603490695,599.6569808033692,12219.290115653635,2605.33561966788,0.0,29.0,1.0
United States,4/30/2016,49420.53564487835,725.5235484463971,10823.501511872415,1383.5089386453158,2088.5663785318707,978.2799891604452,2955.306076041177,691.7544693226579,923.0214960488719,617.0531730792347,11553.11828203078,2529.611017996465,0.0,30.0,1.0
United States,5/7/2016,49638.499701040666,701.9875236025789,11010.766405194969,1493.0026194404702,2027.168052852345,941.4409937527297,2843.765784390039,727.5701593023813,894.3689440650932,563.8412908236457,11423.158492675784,2616.591979375793,0.0,31.0,1.0
United States,5/14/2016,49271.1330523915,705.0574398865551,10788.709127320684,1382.4856332173238,2031.2612745643135,885.1591952131643,2817.159843262244,691.7544693226579,918.9282743369035,595.5637590914007,11528.55895175897,2574.6364568281174,0.0,32.0,1.0
United States,5/21/2016,48873.06724090257,714.267188738484,10925.832054671624,1433.6509046169285,1994.4222791565978,872.8795300772591,2870.3717255178335,651.845557630966,889.2524169251327,605.7968133713217,11291.152092464803,2565.4267079761885,0.0,33.0,1.0
United States,5/28/2016,48858.740964910685,696.8709964626183,10743.68368848903,1364.066135513466,2035.354496276282,880.0426680732038,2814.089926978268,745.989657006239,889.2524169251327,574.0743451035667,11376.086442988148,2481.5156628808363,0.0,34.0,1.0
United States,6/4/2016,48024.74704109712,697.8943018906104,10674.09891938557,1313.9241695418532,1854.2294355216807,803.2947609737965,2706.6428570390976,715.2904941664762,818.644342393678,617.0531730792347,11300.361841316731,2525.5177962844964,0.0,35.0,1.0
United States,6/11/2016,48220.19837784362,688.6845530386815,10774.382851328794,1307.7843369739005,1953.490062036914,845.2502835214725,2735.2954090228764,694.8243856066342,895.3922494930853,591.4705373794324,11036.349040894771,2484.5855791648128,0.0,36.0,1.0
United States,6/18/2016,48267.27042753125,668.2184444788396,10752.89343734096,1381.4623277893315,1911.534539489238,761.3392384261205,2600.2190925279197,731.6633810143496,865.7163920813144,582.2607885275035,11221.56732336134,2464.1194706049705,0.0,37.0,1.0
United States,6/25/2016,48004.28093253728,629.33283821514,10810.198541308517,1310.8542532578767,1966.7930326008113,729.6167701583655,2644.2212259315797,705.0574398865551,885.1591952131643,582.2607885275035,11223.613934217325,2407.8376720654055,0.0,38.0,1.0
United States,7/2/2016,48033.95678994906,672.3116661908081,10690.471806233441,1316.9940858258294,2002.6087225805347,762.3625438541126,2641.1513096476037,670.2650553348238,855.4833378013934,578.1675668155351,11093.654144862328,2443.6533620451287,0.0,39.0,1.0
United States,7/9/2016,48016.56059767319,694.8243856066342,10871.596866988044,1295.5046718379954,1972.9328651687638,793.0617066938755,2567.4733188321725,654.9154739149424,799.2015392618281,608.866729655298,11059.88506573859,2426.257169769263,0.0,40.0,1.0
