all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained,Total Unreported
59380.63775321794,881.0611765871762,11602.343738914957,1768.0226007767478,2671.055060721252,1851.5936224403729,3787.1718409981336,945.2180610569353,1069.1989430487206,642.4907988391247,13982.31269479812,3052.6977625503114,0.0,41610.675501892714,17769.962251325233,18412.45305016436
57928.909483022195,845.6072670559973,11363.014561139717,1684.6281418425174,2686.2720039347355,1871.4549387092616,3621.6373683225374,926.971102782173,1071.3825475541666,624.6842134319207,13580.735443190835,3051.899379992746,0.0,40703.60275452466,17225.306728497533,17849.990941929453
56759.50892202791,839.2156242217911,11135.939709914235,1690.4156263656116,2521.8203423271225,1723.7139855519824,3561.4959473925555,903.0410559345413,1054.0259430666304,625.8818256733157,13348.382873859155,2952.300917281488,0.0,39730.352025915134,17029.15689611278,17655.038721786103
56408.9859546968,847.1158505025842,11114.197012035927,1690.993838906876,2539.139589240161,1710.9828408569022,3433.578198879887,895.5643882166537,1037.108253656679,610.1167286634796,13234.352922009117,2926.8885961943156,0.0,39429.92149049908,16979.06446419772,17589.1811928612
56664.03177323032,815.6451402609673,11283.189820789492,1706.8911288691265,2469.4210686977563,1654.4234326071453,3515.273145352392,887.4976841137503,1012.9234436011724,617.6046819201758,13286.206596814663,2891.079211372988,0.0,39522.55067247946,17141.48110075087,17759.085782671045
55941.24373518307,822.7804780172653,11145.919101628955,1685.4590455404878,2492.492462325029,1674.5916016255524,3497.8543758484248,879.0225685522337,1028.361156853927,624.9624486057107,13214.689326992864,2890.466314185209,0.0,39331.636431569954,16609.607303613117,17234.56975221883
55262.31238677769,818.9952422256857,11090.941447942212,1597.217182781873,2435.8774964105155,1588.8163081649982,3459.4835523940615,917.2321326525084,1011.816976535292,588.0594457404509,12939.064141904608,2867.6941736125427,0.0,38727.13865462429,16535.173732153402,17123.233177893853
54572.660307177364,816.0618654410231,10820.395639111872,1657.6944694554127,2280.5769926495864,1497.3615522333869,3327.5880213300584,835.6826152622846,970.8395694628713,598.6686546407674,12985.752422737023,2882.071574016722,0.0,38074.02472170025,16498.635585477117,17097.304240117886
54957.258927131785,766.8020466916954,11124.368096695283,1618.4791147067865,2358.550015839093,1423.4524785721094,3356.759240972538,880.4219833084752,983.563694767176,623.6339666256383,12950.954636768703,2865.90099819623,0.0,38329.25230651809,16628.006620613698,17251.640587239337
54279.91289030594,790.0213543453619,10973.07247467552,1602.0823492790098,2348.0070306687962,1359.950353306118,3337.419741263728,869.6319794877901,1015.452291919224,603.7635806095827,12877.084765986436,2810.535453772103,0.0,37983.25779470407,16296.655095601867,16900.41867621145
53977.260441433136,761.7913268223796,10986.5859808427,1615.6882577589083,2342.9115849917707,1291.242267910399,3295.109793497645,866.2465302817159,966.2815660130752,574.5381182056889,12666.566705808078,2819.1986116518815,0.0,37611.62262557855,16365.637815854585,16940.17593406027
53128.010549470666,773.0666196346805,10879.68116810637,1572.5317003129446,2341.87473777466,1231.3062727672916,3267.9641508121226,871.747030468014,970.4931350368199,590.7451618525594,12416.941323219475,2797.4583195250298,0.0,37123.064457657405,16004.946091813259,16595.691253665816
53048.06027692733,754.4026753377852,10888.929634728289,1574.9343562256106,2264.683129665098,1184.2402234771946,3219.6325180354906,825.7233179914642,949.5315327763983,598.4123382360913,12392.642778314104,2778.6251864307355,0.0,36833.345352982156,16214.714923945176,16813.127262181268
52569.310150620986,753.3213260116621,10928.749266150091,1557.451603307827,2154.9097947093087,1082.383361918838,3206.2269665427466,827.8785329283019,969.5441983598377,585.4540967109776,12205.358040046403,2815.868088374739,0.0,36501.69117834976,16067.61897227123,16653.07306898221
51364.25164979501,736.1854215349747,10794.390386185189,1477.839406371866,2189.0986816075133,1001.1412870147647,3023.8749053763204,829.6744830138733,927.2488202236965,566.1022740228818,12018.870089319236,2695.711195820976,0.0,35694.034676468415,15670.216973326607,16236.319247349487
51023.762141307736,713.9535556249377,10833.455909151322,1510.2397026100105,2140.5477899892167,931.3385686832547,3019.043810386604,802.9897030581204,914.2189813516287,575.8285091341593,11959.06169446852,2677.049116994648,0.0,35501.898832318264,15521.863308989483,16097.691818123638
50922.38700480441,675.1714526118168,10862.784642561912,1530.7250753396454,2085.873012629109,899.8033842026813,2957.6446308423315,787.0367188789328,914.5336095176468,563.3639823497198,11822.421514830503,2689.374346315408,0.0,35225.368387729985,15697.01861707443,16260.382599424149
50045.02724474898,689.9723724094937,10727.712402760595,1499.8399081817342,2027.434553687237,806.8709585066125,2950.5317109906828,787.8253896671657,904.9352106096533,546.1274406249112,11668.771234037324,2575.896927559469,0.0,34639.790668409965,15405.236576339012,15951.36401696392
49766.208564379725,642.1745454719404,10779.31540676066,1424.321124976552,2015.7932291645786,781.5764198427122,2857.2287040455267,759.5856298021757,880.3920199703903,569.370520255978,11631.414047530076,2613.606347264927,0.0,34385.407474829546,15380.801089550181,15950.171609806155
49322.678216779525,650.3429120011607,10795.348181670231,1430.3906128080368,1996.6049441940831,754.9523534478677,2867.737534563855,744.1052181929483,862.6941163802778,554.5066608194128,11488.244314501884,2566.703597398973,0.0,34157.12378515933,15165.554431620192,15720.061092439604
49238.07151928932,665.4366860583153,10698.45072308606,1409.1190082831988,2021.9150962628528,768.4757724843734,2795.8589637726227,759.1582611054762,874.3857306439273,536.820984801759,11434.026906370025,2578.5561484566074,0.0,34005.38329652347,15232.68822276585,15769.50920756761
49655.833001667736,654.6614050405392,10722.506296914451,1456.3418964842829,2025.745279037504,753.7137306230368,2783.863582580381,732.2267625108187,836.2965273419223,565.6875263410101,11515.276124954773,2558.577670360092,0.0,34039.209275847796,15616.62372581993,16182.311252160942
49112.042163466445,666.8133745880286,10748.850734893344,1426.8739087313095,2012.7016491098395,733.7516631024672,2758.6612740122746,748.6216953029852,851.340096778576,539.0454344553914,11362.49110275768,2492.298269791433,0.0,33802.40376906791,15309.638394398535,15848.683828853926
49042.73766584582,656.9971663179501,10868.954838523781,1416.4143427757751,2001.856365087262,728.6907488989888,2717.8416767675612,746.778872167848,881.7641217679093,562.7318064858501,11208.179887614217,2582.724493081218,0.0,33810.202513002514,15232.535152843315,15795.266959329167
