,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained
14,58237.224098894236,875.8659479524882,11568.43240809978,1719.1001365295886,2600.430255204017,1806.6438715859008,3631.56222194485,896.0402026001912,1070.2886674872357,648.6977173569718,13800.70723734688,2984.314638388559,0.0,40953.3855871395,17283.838511754737
15,56822.5371156823,853.5417861071892,11351.892107935031,1669.4022568752905,2590.8663203838432,1752.5328284285358,3543.5735107077626,880.5609730535692,1056.6045506707878,625.4814218724516,13404.792766842744,2976.610947771624,0.0,40080.37804877638,16742.159066905922
16,55918.531825130565,822.7596469526112,11261.582814721924,1662.1783508669982,2450.0492293599077,1619.9593191708468,3462.906138383319,865.1406248768093,1038.1532848058127,633.1734717584767,13188.972366805936,2941.9906707225373,0.0,39313.69244666669,16604.839378463876
17,55579.5573328616,835.7312430375497,11141.09821337734,1621.223338247214,2438.974456472309,1593.5509189451764,3363.4582006005376,837.4348866622356,1027.5573354746243,619.7943411014372,13164.40321870962,2879.5601867143682,0.0,38902.991998241,16676.5653346206
18,55700.58650506184,823.8778202678827,11326.701723664712,1648.6977756599513,2393.9888118240256,1528.4578549087332,3462.696664299115,849.9094415636639,1015.5654061180376,623.4564642083876,13165.194324054975,2841.494006761932,0.0,39056.58382912303,16644.00267593881
19,55412.14802485415,808.8368493426954,11178.297369675789,1647.8565083158755,2417.9821713106808,1539.8337313947527,3480.467040019989,835.3079239995018,1020.4821332534295,621.0452813669199,13204.49502647371,2855.9990023591595,0.0,38989.5577561456,16422.590268708558
20,54772.909374840216,821.6821175034313,11147.30278354255,1617.2884748928068,2354.8582826957763,1498.780761111508,3434.181292034088,861.9760839607216,1016.1204890135948,605.1198409330101,12916.888313242871,2842.047941454182,0.0,38511.126539451536,16261.782835388689
21,54497.62057781604,819.5472822123731,10988.401100934632,1625.9170896425446,2252.429216947101,1436.3285290761273,3349.19433400913,833.5650017943758,987.1776400122923,611.816659164019,12994.06437467232,2854.102601007001,0.0,38140.7271703079,16356.893407508134
22,54676.103477200646,797.3877007429193,11225.736700771717,1590.641164507713,2295.3829921947186,1402.8631348039294,3386.555777856151,840.0886531875633,1001.9512441814728,616.7569492190298,12918.389304814258,2822.771289160042,0.0,38281.76796222048,16394.335514980172
23,53736.46536825922,789.089840791418,11083.340633153464,1552.1841501612696,2271.8647538453383,1320.9634712693376,3367.0684167991467,847.951430828631,1006.1681522333638,612.8585157140918,12736.831581211856,2784.140155988807,0.0,37759.60258628261,15976.862781976597
24,53321.355774627686,770.0977106062235,11110.551243716302,1559.9098623794118,2230.327285163516,1271.67880841319,3290.162459345875,840.5659606915755,975.3972349728112,573.8233203423322,12551.627539483492,2778.691757082453,0.0,37379.009861854865,15942.345912772827
25,52645.182289017546,778.4716642797918,10931.693361678856,1546.7964495670712,2235.521219325804,1214.6056076859202,3270.893690672554,827.084051784284,966.4061341963472,588.4474080801433,12393.968064192459,2744.71362911502,0.0,36910.15387249812,15735.028416519432
26,52544.91817769727,750.6837452635091,10967.55570682377,1528.357407113025,2191.2408608113774,1190.480207707009,3234.876211572861,797.8100271673038,954.0728485658816,603.4734247711083,12319.192152453936,2724.931110400772,0.0,36659.20027787944,15885.717899817837
27,52166.969644099365,765.2383779624017,11005.983840500527,1518.010893361501,2110.8204131879857,1115.6297890275541,3191.2323557246777,811.8641704645494,956.0265451491914,584.8274333099768,12192.279868474241,2759.040070046756,0.0,36426.126323899385,15740.84332019998
